Node_ID,Elevation_Smoothen_ft,Curve_Current_degrees,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Cumulative_Length_ft
160,813.9043571,0.00074,POINT (-79.7696 36.07178),-79.7696,36.07178,0,0,0,8000
161,813.9081143,0.00074,POINT (-79.7695 36.0718),-79.7695,36.0718,0,0,0,8050
162,813.9457429,0,POINT (-79.7694 36.07183),-79.7694,36.07183,0,0,0,8100
163,814.0379714,0.00092,POINT (-79.7692 36.07186),-79.7692,36.07186,0,0,0,8150
164,814.2018143,0.00092,POINT (-79.7691 36.07189),-79.7691,36.07189,0,0,0,8200
165,814.4483429,0.00074,POINT (-79.769 36.07191),-79.769,36.07191,0,0,0,8250
166,814.7633429,0.00074,POINT (-79.7688 36.07194),-79.7688,36.07194,0,0,0,8300
167,815.0667143,0,POINT (-79.7687 36.07197),-79.7687,36.07197,0,0,0,8350
168,815.3366143,0.00074,POINT (-79.7686 36.072),-79.7686,36.072,0,0,0,8400
169,815.5302143,3.51426,POINT (-79.7684 36.07202),-79.7684,36.07202,0,0,0,8450
170,815.6425714,4.31376,POINT (-79.7683 36.07205),-79.7683,36.07205,0,0,0,8500
171,815.6808,0.00048,POINT (-79.7682 36.07209),-79.7682,36.07209,0,0,0,8550
172,815.6136429,0,POINT (-79.768 36.07212),-79.768,36.07212,0,0,0,8600
173,815.4150714,0.00048,POINT (-79.7679 36.07216),-79.7679,36.07216,0,0,0,8650
174,815.1987571,0.00048,POINT (-79.7678 36.07219),-79.7678,36.07219,0,0,0,8700
175,814.9909429,0,POINT (-79.7677 36.07223),-79.7677,36.07223,0,0,0,8750
176,814.7934286,0.00048,POINT (-79.7675 36.07226),-79.7675,36.07226,0,0,0,8800
177,814.5701429,0.00048,POINT (-79.7674 36.0723),-79.7674,36.0723,0,0,0,8850
178,814.2939143,0,POINT (-79.7673 36.07233),-79.7673,36.07233,0,0,0,8900
179,814.0102429,0.00048,POINT (-79.7671 36.07236),-79.7671,36.07236,0,0,0,8950
180,813.7279286,0.10224,POINT (-79.767 36.0724),-79.767,36.0724,0,0,0,9000
181,811.2781571,2.3938,POINT (-79.7669 36.07243),-79.7669,36.07243,0,0,0,9050
182,808.2198429,0.00096,POINT (-79.7668 36.07247),-79.7668,36.07247,0,0,0,9100
183,805.1663429,2.99618,POINT (-79.7666 36.07251),-79.7666,36.07251,0,0,0,9150
184,802.6812857,2.99496,POINT (-79.7665 36.07254),-79.7665,36.07254,0,0,0,9200
185,802.6662714,0.0005,POINT (-79.7664 36.07257),-79.7664,36.07257,0,0,0,9250
186,802.7112143,0.00022,POINT (-79.7662 36.0726),-79.7662,36.0726,0,1,0,9300
187,802.8158286,0.00022,POINT (-79.7661 36.07264),-79.7661,36.07264,0,0,0,9350
188,805.1369286,0.00022,POINT (-79.766 36.07267),-79.766,36.07267,0,0,0,9400
189,808.1093857,0.00022,POINT (-79.7658 36.0727),-79.7658,36.0727,0,0,0,9450
190,811.1097857,0,POINT (-79.7657 36.07273),-79.7657,36.07273,0,0,0,9500
191,813.5945429,0.00022,POINT (-79.7656 36.07276),-79.7656,36.07276,0,0,0,9550
192,813.7179714,0.00022,POINT (-79.7654 36.07279),-79.7654,36.07279,0,0,0,9600
193,813.8447571,0.19712,POINT (-79.7653 36.07282),-79.7653,36.07282,0,0,0,9650
194,813.9812714,4.84452,POINT (-79.7652 36.07286),-79.7652,36.07286,0,0,0,9700
195,814.1420857,0.00024,POINT (-79.765 36.07289),-79.765,36.07289,0,0,0,9750
196,814.3055143,0.00024,POINT (-79.7649 36.07293),-79.7649,36.07293,0,0,0,9800
197,814.4807429,0,POINT (-79.7648 36.07296),-79.7648,36.07296,0,0,0,9850
198,814.6689,0.00024,POINT (-79.7647 36.073),-79.7647,36.073,0,0,0,9900
199,814.86,0.00024,POINT (-79.7645 36.07304),-79.7645,36.07304,0,0,0,9950
200,815.1109714,0.00024,POINT (-79.7644 36.07307),-79.7644,36.07307,0,0,0,10000
201,815.1300714,0.00024,POINT (-79.7643 36.07311),-79.7643,36.07311,0,0,0,10050
202,815.2609571,0.00024,POINT (-79.7641 36.07314),-79.7641,36.07314,0,0,0,10100
203,815.3583286,0.00024,POINT (-79.764 36.07318),-79.764,36.07318,0,1,0,10150
204,815.4094429,0,POINT (-79.7639 36.07322),-79.7639,36.07322,0,0,0,10200
205,815.4656571,0.00024,POINT (-79.7638 36.07325),-79.7638,36.07325,0,0,0,10250
206,815.4595714,0.00024,POINT (-79.7636 36.07329),-79.7636,36.07329,0,0,0,10300
207,815.3356,0.00024,POINT (-79.7635 36.07332),-79.7635,36.07332,0,0,0,10350
208,815.4287143,0.00024,POINT (-79.7634 36.07336),-79.7634,36.07336,0,0,0,10400
209,815.3453571,0.00072,POINT (-79.7632 36.0734),-79.7632,36.0734,0,0,0,10450
210,815.2344857,0.00118,POINT (-79.7631 36.07343),-79.7631,36.07343,0,0,0,10500
211,815.1038714,0.00118,POINT (-79.763 36.07347),-79.763,36.07347,0,0,0,10550
212,814.8985857,0.00118,POINT (-79.7628 36.0735),-79.7628,36.0735,0,0,0,10600
213,814.6221857,0.00118,POINT (-79.7627 36.07354),-79.7627,36.07354,0,0,0,10650
214,814.3200286,0.00072,POINT (-79.7626 36.07358),-79.7626,36.07358,0,0,0,10700
