Speed_mph,Elevation_Smoothen_ft,Curve_Current_degrees,Curve_Max_Preceding_250ft_degrees,Curve_Max_Following_250ft_degrees,Elev_Delta_CUR_ft,Elev_Delta_PRE_ft,Elev_Delta_FOL_ft,Distance_to_Key_Nodes_FOL,Distance_to_Key_Nodes_PRE,Station,Intersection,Switch,geometry,x_coordinate,y_coordinate,Station_if,Intersection_if,Switch_if,Intersection_dist,Station_dist,Node_ID,Cumulative_Length_ft
44.26,815.2900143,0.79402,2.86856,0.00058,0.8885713999999325,1.318628600000011,0.8675427999999101,50.0,2650.0,0,1,0,POINT (-79.777484 36.070426),-79.7775,36.07039,0,0,0,50.0,3450.0,101,711950
41.35,815.2900143,0.79402,2.86856,0.00058,0.8885713999999325,1.318628600000011,0.8675427999999101,50.0,2650.0,0,1,0,POINT (-79.77746099999999 36.070426),-79.7775,36.07039,0,0,0,50.0,3450.0,101,711950
51.88,814.8084429,2.86856,0.0009,0.79402,1.1021143000000393,1.318628600000011,0.8885713999999325,100.0,2600.0,0,1,0,POINT (-79.77744599999998 36.070426),-79.7774,36.07041,0,0,0,100.0,3500.0,102,711900
27.24,814.8084429,2.86856,0.0009,0.79402,1.1021143000000393,1.318628600000011,0.8885713999999325,100.0,2600.0,0,1,0,POINT (-79.7774 36.070438),-79.7774,36.07041,0,0,0,100.0,3500.0,102,711900
23.04,809.9944,0.00014,0.23638,0.00014,-0.2238000000000966,-0.20488569999997708,-0.26887140000008003,1500.0,1200.0,0,1,0,POINT (-79.773578 36.071082999999994),-79.7736,36.07106,0,0,0,1500.0,4900.0,130,710500
69.46,809.946,0.00072,2.89586,0.00072,-0.22124280000002727,-0.17409999999995307,3.0516571000000567,2650.0,50.0,0,1,0,POINT (-79.77053399999998 36.071608999999995),-79.7706,36.07159,0,0,0,2650.0,6050.0,153,709350
76.65,813.7179714,0.00022,4.84452,0.00022,-0.2502142000000731,-0.2502142000000731,-2.4257142999999814,300.0,550.0,0,1,0,POINT (-79.76538400000001 36.072832999999996),-79.7654,36.07279,0,0,0,300.0,8000.0,192,707400
69.74,815.2609571,0.00024,0.00024,0.00024,-0.22825720000003002,0.13005710000004456,-0.149985700000002,800.0,50.0,0,1,0,POINT (-79.76407899999998 36.073196),-79.7641,36.07314,0,0,0,800.0,8500.0,202,706900
76.69,812.6240857,0.00024,0.00024,0.00118,0.9249856999999793,0.9351427999999942,0.9101713999999674,750.0,1700.0,0,1,0,POINT (-79.76208 36.073715),-79.7621,36.07372,0,0,0,750.0,9300.0,218,706100
62.63,809.9414,0.00024,0.00024,0.00024,0.8598428999999896,0.8598428999999896,0.9351427999999942,1050.0,1400.0,0,1,0,POINT (-79.761325 36.073905),-79.7613,36.07394,0,0,0,1050.0,9600.0,224,705800
76.3,806.9432286,1.60864,1.61816,2.0631,0.7210285999999542,0.7578714999999647,0.6289428000000044,1550.0,900.0,0,1,0,POINT (-79.75995199999998 36.074275),-79.76,36.07429,0,0,0,1550.0,10100.0,234,705300
79.17,804.5621286,8.32278,0.00102,2.86192,0.06562860000008186,0.09607139999991432,0.0867284999999356,850.0,350.0,0,1,0,POINT (-79.75551099999998 36.075569),-79.7555,36.07555,0,0,0,850.0,11850.0,269,703550
77.77,801.5708714,1.56486,2.22198,2.88692,-0.2601857000000791,-0.2601857000000791,-0.3414570999999569,1100.0,1850.0,0,1,0,POINT (-79.752284 36.077339),-79.7522,36.0774,0,0,0,1100.0,13300.0,298,702100
77.72,804.2496714,0.00046,0.0006,0.0006,-0.6789999999999736,-0.4795143000000053,-0.6115856999999778,1550.0,1400.0,0,1,0,POINT (-79.75128499999998 36.078005999999995),-79.7513,36.078,0,0,0,1550.0,13750.0,307,701650
78.76,806.8367429,0.0,0.0006,0.0006,-0.31634280000002946,-0.24484289999998055,-0.34748579999995854,2100.0,850.0,0,1,0,POINT (-79.75007899999999 36.078758),-79.7501,36.07874,0,0,0,2100.0,14300.0,318,701100
78.85,807.3992857,0.61822,3.92552,0.00104,0.26935709999997925,0.7202142999999523,0.26015720000009424,500.0,650.0,0,1,0,POINT (-79.74712699999999 36.080596),-79.7471,36.08054,0,0,0,500.0,15650.0,345,699750
77.71,805.5266143,0.00106,0.00106,0.00062,0.24261430000001383,0.24261430000001383,0.7202142999999523,850.0,300.0,0,1,0,POINT (-79.746356 36.081058),-79.7463,36.08099,0,0,0,850.0,16000.0,352,699400
78.49,808.0916286,3.02356,0.88536,0.00064,0.5392857000000504,0.5392857000000504,0.179300000000012,1150.0,1050.0,0,1,0,POINT (-79.743075 36.082817000000006),-79.743,36.08275,0,0,0,1150.0,17450.0,381,697950
75.98,808.2187857,3.9199,10.09038,0.88536,-0.4216999999999871,0.20084289999999783,0.47502860000008695,1450.0,750.0,0,1,0,POINT (-79.742343 36.08311),-79.7423,36.08309,0,0,0,1450.0,17750.0,387,697650
77.79,808.2187857,3.9199,10.09038,0.88536,-0.4216999999999871,0.20084289999999783,0.47502860000008695,1450.0,750.0,0,1,0,POINT (-79.742305 36.083136999999994),-79.7423,36.08309,0,0,0,1450.0,17750.0,387,697650
