OBJECTID,ORIG_FID,ORIG_LEN,ORIG_SEQ,RASTERVALU,x_coordinate,y_coordinate
6796,1,111785.6236,7336,411.9850159,-78.88834849,35.98369175
6797,1,111800.8636,7337,411.5141602,-78.88822723,35.98364033
6798,1,111816.1036,7338,411.3076782,-78.88810596,35.98358891
6799,1,111831.3437,7339,410.7846985,-78.8879847,35.98353749
6800,1,111846.5837,7340,410.5215149,-78.88786291,35.98348689
6801,1,111861.8237,7341,410.1567078,-78.88774087,35.9834367
6802,1,111877.0638,7342,409.7578735,-78.88761883,35.9833865
6803,1,111892.3038,7343,409.3349915,-78.88749689,35.98333613
6804,1,111907.5438,7344,408.9485474,-78.88737547,35.98328496
6805,1,111922.7838,7345,408.5812988,-78.88725405,35.98323379
6806,1,111938.0239,7346,408.0957947,-78.88713262,35.98318262
6807,1,111953.2639,7347,407.6200256,-78.8870112,35.98313145
6808,1,111968.5039,7348,407.289093,-78.88688978,35.98308028
6809,1,111983.744,7349,407.0369873,-78.88676835,35.98302911
6810,1,111998.984,7350,406.6540222,-78.88664693,35.98297793
6811,1,112014.224,7351,406.5220032,-78.88652547,35.98292682
6812,1,112029.4641,7352,406.2634277,-78.8864039,35.98287587
6813,1,112044.7041,7353,406.0817566,-78.88628233,35.98282493
6814,1,112059.9441,7354,405.8563843,-78.88616076,35.98277399
6815,1,112075.1842,7355,405.7684021,-78.88603919,35.98272305
6816,1,112090.4242,7356,405.6687012,-78.88591762,35.9826721
6817,1,112105.6642,7357,405.6046753,-78.88579619,35.98262095
6818,1,112120.9042,7358,405.4730225,-78.88567507,35.9825693
6819,1,112136.1443,7359,405.4725647,-78.88555396,35.98251766
6820,1,112151.3843,7360,405.2572021,-78.88543284,35.98246602
6821,1,112166.6243,7361,405.2771912,-78.88531172,35.98241437
6822,1,112181.8644,7362,405.129425,-78.8851906,35.98236273
6823,1,112197.1044,7363,405.047699,-78.88506934,35.98231131
6824,1,112212.3444,7364,404.8772278,-78.88494801,35.98226
6825,1,112227.5845,7365,404.8313293,-78.88482668,35.98220868
6826,1,112242.8245,7366,404.8553467,-78.88470535,35.98215736
6827,1,112258.0645,7367,404.6240234,-78.88458402,35.98210604
6828,1,112273.3045,7368,404.5629578,-78.88446269,35.98205472
6829,1,112288.5446,7369,404.4100647,-78.88434136,35.9820034
6830,1,112303.7846,7370,404.4325562,-78.88422004,35.98195209
6831,1,112319.0246,7371,404.388031,-78.88409871,35.98190077
6832,1,112334.2647,7372,404.4706726,-78.88397738,35.98184945
6833,1,112349.5047,7373,404.6378174,-78.88385607,35.98179809
6834,1,112364.7447,7374,404.9888,-78.88373479,35.98174671
6835,1,112379.9848,7375,405.4509583,-78.8836135,35.98169533
6836,1,112395.2248,7376,404.7026672,-78.88349221,35.98164394
6837,1,112410.4648,7377,404.6560059,-78.88337092,35.98159256
6838,1,112425.7049,7378,404.528656,-78.88324964,35.98154118
6839,1,112440.9449,7379,404.603302,-78.88312906,35.98148872
6840,1,112456.1849,7380,404.683197,-78.88300863,35.98143603
6841,1,112471.4249,7381,404.8479309,-78.8828882,35.98138335
6842,1,112486.665,7382,404.9793701,-78.88276777,35.98133066
6843,1,112501.905,7383,405.2034912,-78.88264734,35.98127797
6844,1,112517.145,7384,405.137146,-78.88252691,35.98122528
6845,1,112532.3851,7385,405.1181946,-78.8824067,35.98117226
6846,1,112547.6251,7386,405.3300171,-78.8822868,35.98111879
6847,1,112562.8651,7387,405.457489,-78.8821669,35.98106532
6848,1,112578.1052,7388,405.4219666,-78.882047,35.98101185
6849,1,112593.3452,7389,405.6193542,-78.8819262,35.98095975
6850,1,112608.5852,7390,405.6119995,-78.88180477,35.98090858
6851,1,112623.8252,7391,405.751709,-78.88168334,35.98085742
6852,1,112639.0653,7392,405.9285583,-78.88156191,35.98080625
6853,1,112654.3053,7393,405.9780884,-78.88144048,35.98075509
6854,1,112669.5453,7394,406.2011414,-78.88131905,35.98070392
6855,1,112684.7854,7395,406.4891052,-78.88119762,35.98065276
6856,1,112700.0254,7396,406.41922,-78.88107619,35.9806016
6857,1,112715.2654,7397,406.5682373,-78.88095477,35.98055043
6858,1,112730.5055,7398,406.7504883,-78.88083334,35.98049927
6859,1,112745.7455,7399,406.9497681,-78.88071191,35.9804481
6860,1,112760.9855,7400,407.088623,-78.88059048,35.98039694
6861,1,112776.2256,7401,407.2197571,-78.88046905,35.98034577
6862,1,112791.4656,7402,407.3973694,-78.88034762,35.98029461
6863,1,112806.7056,7403,407.6256104,-78.88022619,35.98024345
6864,1,112821.9456,7404,408.0735779,-78.88010476,35.98019228
6865,1,112837.1857,7405,408.2421875,-78.87998334,35.98014112
6866,1,112852.4257,7406,408.5284119,-78.87986191,35.98008995
6867,1,112867.6657,7407,408.8440247,-78.87974048,35.98003879
6868,1,112882.9058,7408,409.1503296,-78.87961905,35.97998763
6869,1,112898.1458,7409,409.3135681,-78.87949762,35.97993646
6870,1,112913.3858,7410,409.5853882,-78.87937619,35.9798853
6871,1,112928.6259,7411,410.4915161,-78.87925476,35.97983413
6872,1,112943.8659,7412,409.8076477,-78.87913333,35.97978297
6873,1,112959.1059,7413,409.9580688,-78.8790119,35.9797318
6874,1,112974.3459,7414,410.0172119,-78.87889047,35.97968064
6875,1,112989.586,7415,410.0409546,-78.87876905,35.97962948
6876,1,113004.826,7416,410.0683594,-78.87864762,35.97957831
6877,1,113020.066,7417,410.0335693,-78.87852619,35.97952715
6878,1,113035.3061,7418,409.9771729,-78.87840476,35.97947598
6879,1,113050.5461,7419,410.0618591,-78.87828333,35.97942482
6880,1,113065.7861,7420,410.0343323,-78.8781619,35.97937365
6881,1,113081.0262,7421,409.9952698,-78.87804047,35.97932249
6882,1,113096.2662,7422,410.1502075,-78.87791904,35.97927133
6883,1,113111.5062,7423,410.1523132,-78.87779761,35.97922016
6884,1,113126.7463,7424,410.0223389,-78.87767618,35.979169
6885,1,113141.9863,7425,409.8600769,-78.87755475,35.97911783
6886,1,113157.2263,7426,409.9754333,-78.87743332,35.97906667
6887,1,113172.4663,7427,410.0301819,-78.8773119,35.9790155
6888,1,113187.7064,7428,409.9151917,-78.87719047,35.97896434
6889,1,113202.9464,7429,409.8480225,-78.87706904,35.97891317
6890,1,113218.1864,7430,409.7130127,-78.87694761,35.97886201
