OBJECTID,x_coordinate,y_coordinate,Direction,Arc_Angle,Arc_Temp,Arc_straddle,Arc_Angle_All
326,-78.3071,35.54738,304.4461,0.0006,good,359.9994,0.0006
327,-78.3072,35.54744,304.4455,0.0012,good,359.9988,0.0012
328,-78.3073,35.54751,304.4458,0.0006000000001,good,359.9994,0.0006000000001
329,-78.3074,35.54757,304.4461,0.0006,good,359.9994,0.0006
330,-78.3075,35.54763,304.4455,0.0012,good,359.9988,0.0012
331,-78.3077,35.5477,304.4458,0.0006000000001,good,359.9994,0.0006000000001
332,-78.3078,35.54776,304.4457,0.0002000000001,good,359.9998,0.0002000000001
333,-78.3079,35.54782,304.4458,0.0002000000001,good,359.9998,0.0002000000001
334,-78.308,35.54788,304.4458,0,good,360,0
335,-78.3081,35.54795,304.4455,0.0006000000001,good,359.9994,0.0006000000001
336,-78.3082,35.54801,304.4461,0.0012,good,359.9988,0.0012
337,-78.3083,35.54807,304.4455,0.0012,good,359.9988,0.0012
338,-78.3084,35.54814,304.4458,0.0006000000001,good,359.9994,0.0006000000001
339,-78.3086,35.5482,304.4461,0.0006,good,359.9994,0.0006
340,-78.3087,35.54826,304.4455,0.0012,good,359.9988,0.0012
341,-78.3088,35.54833,304.4458,0.0006000000001,good,359.9994,0.0006000000001
342,-78.3089,35.54839,304.4457,0.0002000000001,good,359.9998,0.0002000000001
343,-78.309,35.54845,304.4458,0.0002000000001,good,359.9998,0.0002000000001
344,-78.3091,35.54851,304.4458,0,good,360,0
345,-78.3092,35.54858,304.4455,0.0006000000001,good,359.9994,0.0006000000001
346,-78.3093,35.54864,304.4461,0.0012,good,359.9988,0.0012
347,-78.3095,35.5487,304.4455,0.0012,good,359.9988,0.0012
348,-78.3096,35.54877,304.4458,0.0006000000001,good,359.9994,0.0006000000001
349,-78.3097,35.54883,304.4461,0.0006,good,359.9994,0.0006
350,-78.3098,35.54889,304.4455,0.0012,good,359.9988,0.0012
351,-78.3099,35.54896,304.4458,0.0006000000001,good,359.9994,0.0006000000001
352,-78.31,35.54902,304.4457,0.0002000000001,good,359.9998,0.0002000000001
353,-78.3101,35.54908,304.4458,0.0002000000001,good,359.9998,0.0002000000001
354,-78.3102,35.54914,304.4458,0,good,360,0
355,-78.3104,35.54921,304.4455,0.0006000000001,good,359.9994,0.0006000000001
356,-78.3105,35.54927,304.4461,0.0012,good,359.9988,0.0012
357,-78.3106,35.54933,304.4458,0.0006,good,359.9994,0.0006
358,-78.3107,35.5494,304.4455,0.0006000000001,good,359.9994,0.0006000000001
359,-78.3108,35.54946,304.4461,0.0012,good,359.9988,0.0012
360,-78.3109,35.54952,304.4464,0.0006,good,359.9994,0.0006
361,-78.311,35.54959,304.4464,0,good,360,0
362,-78.3112,35.54965,304.4466,0.0004,good,359.9996,0.0004
363,-78.3113,35.54971,304.4464,0.0004,good,359.9996,0.0004
364,-78.3114,35.54977,304.4464,0,good,360,0
365,-78.3115,35.54984,304.4464,0,good,360,0
366,-78.3116,35.5499,304.4464,0,good,360,0
367,-78.3117,35.54996,304.4466,0.0004,good,359.9996,0.0004
368,-78.3118,35.55003,304.4464,0.0004,good,359.9996,0.0004
369,-78.3119,35.55009,304.4464,0,good,360,0
370,-78.3121,35.55015,304.4466,0.0004,good,359.9996,0.0004
371,-78.3122,35.55022,304.4467,0.0002000000001,good,359.9998,0.0002000000001
372,-78.3123,35.55028,304.4466,0.0002000000001,good,359.9998,0.0002000000001
373,-78.3124,35.55034,304.4464,0.0004,good,359.9996,0.0004
374,-78.3125,35.5504,304.4466,0.0004,good,359.9996,0.0004
375,-78.3126,35.55047,304.4467,0.0002000000001,good,359.9998,0.0002000000001
376,-78.3127,35.55053,304.4464,0.0006000000001,good,359.9994,0.0006000000001
377,-78.3128,35.55059,304.4466,0.0004,good,359.9996,0.0004
378,-78.313,35.55066,304.4464,0.0004,good,359.9996,0.0004
379,-78.3131,35.55072,304.1983,0.4962,good,359.5038,0.4962
380,-78.3132,35.55078,303.5999,1.1968,good,358.8032,1.1968
381,-78.3133,35.55085,303.5998,0.0001999999999,good,359.9998,0.0001999999999
382,-78.3134,35.55091,303.5999,0.0001999999999,good,359.9998,0.0001999999999
383,-78.3135,35.55097,303.5996,0.0006,good,359.9994,0.0006
384,-78.3136,35.55103,303.5999,0.0006,good,359.9994,0.0006
385,-78.3137,35.5511,303.5996,0.0006,good,359.9994,0.0006
386,-78.3139,35.55116,303.5999,0.0006,good,359.9994,0.0006
387,-78.314,35.55122,303.5998,0.0001999999999,good,359.9998,0.0001999999999
388,-78.3141,35.55129,303.5999,0.0001999999999,good,359.9998,0.0001999999999
389,-78.3142,35.55135,303.5996,0.0006,good,359.9994,0.0006
390,-78.3143,35.55141,303.5999,0.0006,good,359.9994,0.0006
391,-78.3144,35.55148,303.5996,0.0006,good,359.9994,0.0006
392,-78.3145,35.55154,303.8556,0.512,good,359.488,0.512
393,-78.3147,35.5516,305.5577,3.4042,good,356.5958,3.4042
394,-78.3148,35.55166,305.558,0.0006,good,359.9994,0.0006
395,-78.3149,35.55173,305.5577,0.0006,good,359.9994,0.0006
396,-78.315,35.55179,305.558,0.0006,good,359.9994,0.0006
397,-78.3151,35.55185,305.5577,0.0006,good,359.9994,0.0006
398,-78.3152,35.55191,305.558,0.0006,good,359.9994,0.0006
399,-78.3153,35.55197,305.5577,0.0006,good,359.9994,0.0006
400,-78.3154,35.55203,305.558,0.0006,good,359.9994,0.0006
401,-78.3156,35.5521,305.5577,0.0006,good,359.9994,0.0006
402,-78.3157,35.55216,305.558,0.0006,good,359.9994,0.0006
403,-78.3158,35.55222,308.781,6.446,good,353.554,6.446
404,-78.3159,35.55228,311.0446,4.5272,good,355.4728,4.5272
405,-78.316,35.55234,311.0441,0.001,good,359.999,0.001
406,-78.3161,35.5524,311.0441,0,good,360,0
407,-78.3162,35.55247,311.0441,0,good,360,0
408,-78.3164,35.55253,311.0441,0,good,360,0
409,-78.3165,35.5526,312.7469,3.4056,good,356.5944,3.4056
410,-78.3166,35.55266,313.2268,0.9598,good,359.0402,0.9598
411,-78.3167,35.55272,313.2268,0,good,360,0
412,-78.3168,35.55279,313.2266,0.0004,good,359.9996,0.0004
413,-78.3169,35.55285,316.6639,6.8746,good,353.1254,6.8746
414,-78.317,35.55292,319.8067,6.2856,good,353.7144,6.2856
415,-78.3171,35.55298,319.8067,0,good,360,0
416,-78.3172,35.55305,324.542,9.4706,good,350.5294,9.4706
417,-78.3174,35.55311,320.289,8.506,good,351.494,8.506
418,-78.3175,35.55318,320.2895,0.001,good,359.999,0.001
419,-78.3176,35.55326,321.9979,3.4168,good,356.5832,3.4168
420,-78.3177,35.55333,325.1102,6.2246,good,353.7754,6.2246
421,-78.3178,35.5534,325.1107,0.001,good,359.999,0.001
422,-78.3179,35.55348,325.1102,0.001,good,359.999,0.001
423,-78.318,35.55355,325.1105,0.0006,good,359.9994,0.0006
424,-78.3181,35.55362,328.7039,7.1868,good,352.8132,7.1868
425,-78.3182,35.5537,329.5408,1.6738,good,358.3262,1.6738
426,-78.3183,35.55378,329.5407,0.0001999999999,good,359.9998,0.0001999999999
427,-78.3184,35.55385,329.541,0.0006,good,359.9994,0.0006
428,-78.3185,35.55393,329.5408,0.0004,good,359.9996,0.0004
429,-78.3186,35.55402,329.5412,0.0008,good,359.9992,0.0008
430,-78.3187,35.5541,332.8585,6.6346,good,353.3654,6.6346
431,-78.3187,35.55419,333.8623,2.0076,good,357.9924,2.0076
432,-78.3188,35.55428,333.8618,0.001,good,359.999,0.001
