Curve_CUR_degree,Curve_Max_FOL_2500ft_degree,Curve_Max_FOL_2k5_5kft_degree,Curve_Max_FOL_5k_7k5ft_degree,Curve_Max_FOL_7k5_10kft_degree,Curve_Max_PRE_2500ft_degree,Curve_Max_PRE_2k5_5kft_degree,Curve_Max_PRE_5k_7k5ft_degree,Curve_Max_PRE_7k5_10kft_degree,Elev_Delta_CUR_ft,Elev_Delta_FOL_2500ft_ft,Elev_Delta_FOL_2k5_5kft_ft,Elev_Delta_FOL_5k_7k5ft_ft,Elev_Delta_FOL_7k5_10kft_ft,Elev_Delta_PRE_2500ft_ft,Elev_Delta_PRE_2k5_5kft_ft,Elev_Delta_PRE_5k_7k5ft_ft,Elev_Delta_PRE_7k5_10kft_ft,Distance_to_FOL_Intersection,Distance_to_FOL_Station,Distance_to_FOL_Switch,Distance_to_PRE_Intersection,Distance_to_PRE_Station,Distance_to_PRE_Switch,Carolinian,Crescent,Piedmont,x_coordinate,y_coordinate
3.0698,11.2558,8.2028,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.688457099999994,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.2679570999999896,50,5750,27200,3450,197150,24950,0,0,0,-78.9503,36.01863
0.0008,11.2558,11.7244,13.277,17.824,6.834,13.9544,14.6794,16.09134,-7.405628500000034,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.2679570999999896,0,5700,27150,0,197200,25000,0,0,0,-78.9502,36.01857
0.0008,11.2558,11.7244,13.277,17.824,6.834,13.9544,14.6794,16.09134,-5.5957286000000295,7.346828600000038,1.0107856999999854,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.2679570999999896,1750,5650,27100,50,197250,25050,0,0,0,-78.9501,36.01851
0.0,11.2558,11.7244,13.277,17.824,6.834,13.9544,14.6794,16.09134,1.2760571000000027,7.346828600000038,0.8682000000000016,10.422528600000021,1.8482000000000198,-0.08331429999998363,2.5017286000000354,1.285971399999994,0.2679570999999896,1700,5600,27050,100,197300,25100,0,0,0,-78.95,36.01845
0.0004,11.2558,13.277,9.9716,17.824,6.834,13.9544,14.6794,16.09134,6.935942900000043,7.346828600000038,0.8308142999999859,10.422528600000021,1.8482000000000198,1.2760571000000027,2.5017286000000354,1.285971399999994,0.2679570999999896,1650,5550,27000,150,197350,25150,0,0,0,-78.9499,36.01839
8.4002,11.2558,13.277,9.3018,17.824,6.834,13.9544,14.6794,16.09134,7.346828600000038,7.120685699999967,0.8308142999999859,10.422528600000021,1.8482000000000198,6.935942900000043,2.5017286000000354,1.285971399999994,0.6417286000000217,1600,5500,26950,200,197400,25200,0,0,0,-78.9498,36.01834
10.251,11.2558,13.277,9.3018,17.824,8.4002,13.9544,14.6794,16.09134,7.120685699999967,6.810942799999964,0.8023714000000268,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,1.285971399999994,1.0462713999999664,1550,5450,26900,250,197450,25250,0,0,0,-78.9496,36.01829
0.0004,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,6.810942799999964,6.559000000000026,0.7373000000000047,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,0.994428599999992,1.285971399999994,1500,5400,26850,300,197500,25300,0,0,0,-78.9495,36.01824
0.0,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,6.559000000000026,4.745857200000046,0.6506713999999647,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,0.7149286000000075,1.285971399999994,1450,5350,26800,350,197550,25350,0,0,0,-78.9494,36.0182
0.0,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,4.745857200000046,1.2923856999999543,0.5382999999999925,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,0.7149286000000075,1.285971399999994,1400,5300,26750,400,197600,25400,0,0,0,-78.9493,36.01816
0.0006,11.2558,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,1.2923856999999543,1.0107856999999854,0.4847000000000321,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,0.58168569999998,1.285971399999994,1350,5250,26700,450,197650,25450,0,0,0,-78.9491,36.01812
11.2558,6.2136,13.277,9.3018,17.824,10.251,13.9544,14.6794,16.09134,-0.48207139999999526,1.0107856999999854,0.4482429000000252,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1300,5200,26650,500,197700,25500,0,0,0,-78.949,36.01807
6.2136,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.5152856999999926,1.0107856999999854,5.35592859999997,10.422528600000021,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1250,5150,26600,550,197750,25550,0,0,0,-78.9489,36.01804
0.0008,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.5229572000000076,1.0107856999999854,10.422528600000021,10.225971399999992,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1200,5100,26550,600,197800,25600,0,0,0,-78.9487,36.01802
0.0008,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.5387428999999884,1.0107856999999854,10.422528600000021,8.98221430000001,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1150,5050,26500,650,197850,25650,0,0,0,-78.9486,36.01799
0.0,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.5229428000000098,1.0107856999999854,10.422528600000021,5.410328600000014,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1100,5000,26450,700,197900,25700,0,0,0,-78.9485,36.01796
0.0,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.482871399999965,1.0107856999999854,10.422528600000021,1.6239999999999668,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1050,4950,26400,750,197950,25750,0,0,0,-78.9483,36.01794
0.0008,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.44658580000003667,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,1000,4900,26350,800,198000,25800,0,0,0,-78.9482,36.01791
0.0006,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.33480000000002974,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,950,4850,26300,850,198050,25850,0,0,0,-78.9481,36.01789
0.0002,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.22885709999997061,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,900,4800,26250,900,198100,25900,0,0,0,-78.9479,36.01786
0.4636,5.8212,13.277,9.3018,17.824,11.2558,13.9544,14.6794,16.09134,-0.18131429999999682,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,850,4750,26200,950,198150,25950,0,0,0,-78.9478,36.01783
5.8212,5.2626,13.277,5.05,17.824,11.2558,13.9544,14.6794,16.09134,-0.12955709999999954,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,800,4700,26150,1000,198200,26000,0,0,0,-78.9477,36.01781
0.0006,5.2626,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.1081143000000111,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,750,4650,26100,1050,198250,26050,0,0,0,-78.9475,36.01777
0.431,5.2626,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.08091430000001765,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,700,4600,26050,1100,198300,26100,0,0,0,-78.9474,36.01774
5.2626,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.050399999999967804,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,650,4550,26000,1150,198350,26150,0,0,0,-78.9473,36.01771
0.0002,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.08157149999999547,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,600,4500,25950,1200,198400,26200,0,0,0,-78.9471,36.01768
0.0002,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.09475710000003801,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,550,4450,25900,1250,198450,26250,0,0,0,-78.947,36.01766
0.0002,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,-0.04494280000000117,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,500,4400,25850,1300,198500,26300,0,0,0,-78.9469,36.01763
0.0002,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.002085700000009183,1.0107856999999854,10.422528600000021,0.4800285000000031,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,450,4350,25800,1350,198550,26350,0,0,0,-78.9467,36.0176
0.0004,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.055285700000013094,1.0107856999999854,10.422528600000021,0.4727713999999992,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,400,4300,25750,1400,198600,26400,0,0,0,-78.9466,36.01758
0.0004,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.12218569999998863,1.0107856999999854,10.422528600000021,0.37288569999998344,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,350,4250,25700,1450,198650,26450,0,0,0,-78.9465,36.01755
0.0002,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.17752860000001647,1.0107856999999854,10.422528600000021,0.22841429999999718,1.8482000000000198,7.346828600000038,2.5017286000000354,0.2577999999999747,1.285971399999994,300,4200,25650,1500,198700,26500,0,0,0,-78.9464,36.01752
0.0002,2.4026,13.277,12.2306,17.824,11.2558,13.9544,14.6794,16.09134,0.22078570000002173,1.0107856999999854,10.422528600000021,0.18870000000003984,1.8482000000000198,7.346828600000038,2.5017286000000354,0.11715720000000829,1.285971399999994,250,4150,25600,1550,198750,26550,0,0,0,-78.9462,36.0175
